instant,dteday,season,year,month,hour,holiday,weekday,weather,temperature,feeling_temperature,humidity,wind_speed,casual,registered,total_rent,day_category,humidity_category
2948,2011-05-07,Summer,2011,May,17,No,Saturday,Clear,0.58,0.5455,40.0,0.2239,138,216,354,Weekend,Normal
2949,2011-05-07,Summer,2011,May,18,No,Saturday,Clear,0.58,0.5455,37.0,0.1642,114,175,289,Weekend,Normal
2950,2011-05-07,Summer,2011,May,19,No,Saturday,Clear,0.56,0.5303,43.0,0.194,88,179,267,Weekend,Normal
2951,2011-05-07,Summer,2011,May,20,No,Saturday,Clear,0.56,0.5303,43.0,0.1343,82,137,219,Weekend,Normal
2952,2011-05-07,Summer,2011,May,21,No,Saturday,Clear,0.54,0.5152,49.0,0.2239,58,124,182,Weekend,Normal
2953,2011-05-07,Summer,2011,May,22,No,Saturday,Clear,0.54,0.5152,49.0,0.194,26,94,120,Weekend,Normal
2954,2011-05-07,Summer,2011,May,23,No,Saturday,Clear,0.5,0.4848,59.0,0.1045,30,89,119,Weekend,Normal
2955,2011-05-08,Summer,2011,May,0,No,Sunday,Mist,0.5,0.4848,59.0,0.1045,22,78,100,Weekend,Normal
2956,2011-05-08,Summer,2011,May,1,No,Sunday,Mist,0.52,0.5,55.00000000000001,0.0,8,56,64,Weekend,Normal
2957,2011-05-08,Summer,2011,May,2,No,Sunday,Clear,0.48,0.4697,63.0,0.0,17,42,59,Weekend,High
2958,2011-05-08,Summer,2011,May,3,No,Sunday,Clear,0.46,0.4545,72.0,0.0896,10,21,31,Weekend,High
2959,2011-05-08,Summer,2011,May,4,No,Sunday,Clear,0.42,0.4242,82.0,0.0,2,8,10,Weekend,High
2960,2011-05-08,Summer,2011,May,5,No,Sunday,Mist,0.44,0.4394,77.0,0.0,0,5,5,Weekend,High
2961,2011-05-08,Summer,2011,May,6,No,Sunday,Mist,0.44,0.4394,82.0,0.0,2,4,6,Weekend,High
2962,2011-05-08,Summer,2011,May,7,No,Sunday,Mist,0.46,0.4545,82.0,0.0,8,15,23,Weekend,High
2963,2011-05-08,Summer,2011,May,8,No,Sunday,Clear,0.52,0.5,63.0,0.1343,28,58,86,Weekend,High
2964,2011-05-08,Summer,2011,May,9,No,Sunday,Clear,0.56,0.5303,52.0,0.2239,48,112,160,Weekend,Normal
2965,2011-05-08,Summer,2011,May,10,No,Sunday,Clear,0.58,0.5455,49.0,0.1343,91,153,244,Weekend,Normal
2966,2011-05-08,Summer,2011,May,11,No,Sunday,Clear,0.58,0.5455,49.0,0.0896,142,198,340,Weekend,Normal
2967,2011-05-08,Summer,2011,May,12,No,Sunday,Clear,0.6,0.6212,46.0,0.0896,139,243,382,Weekend,Normal
2968,2011-05-08,Summer,2011,May,13,No,Sunday,Clear,0.6,0.6212,49.0,0.1343,166,224,390,Weekend,Normal
2969,2011-05-08,Summer,2011,May,14,No,Sunday,Clear,0.6,0.6212,49.0,0.0,126,240,366,Weekend,Normal
2970,2011-05-08,Summer,2011,May,15,No,Sunday,Clear,0.6,0.6212,49.0,0.0,128,230,358,Weekend,Normal
2971,2011-05-08,Summer,2011,May,16,No,Sunday,Clear,0.6,0.6212,46.0,0.1045,122,263,385,Weekend,Normal
2972,2011-05-08,Summer,2011,May,17,No,Sunday,Light Rain,0.58,0.5455,49.0,0.2836,106,245,351,Weekend,Normal
2973,2011-05-08,Summer,2011,May,18,No,Sunday,Clear,0.58,0.5455,49.0,0.0,63,205,268,Weekend,Normal
2974,2011-05-08,Summer,2011,May,19,No,Sunday,Clear,0.56,0.5303,64.0,0.0,61,178,239,Weekend,High
2975,2011-05-08,Summer,2011,May,20,No,Sunday,Clear,0.52,0.5,77.0,0.1343,42,132,174,Weekend,High
2976,2011-05-08,Summer,2011,May,21,No,Sunday,Clear,0.52,0.5,77.0,0.0896,32,95,127,Weekend,High
2977,2011-05-08,Summer,2011,May,22,No,Sunday,Clear,0.5,0.4848,88.0,0.0896,29,86,115,Weekend,High
2978,2011-05-08,Summer,2011,May,23,No,Sunday,Clear,0.46,0.4545,88.0,0.0896,9,41,50,Weekend,High
2979,2011-05-09,Summer,2011,May,0,No,Monday,Clear,0.46,0.4545,82.0,0.0896,31,22,53,Weekday,High
2980,2011-05-09,Summer,2011,May,1,No,Monday,Clear,0.44,0.4394,88.0,0.0,25,8,33,Weekday,High
2981,2011-05-09,Summer,2011,May,2,No,Monday,Clear,0.44,0.4394,94.0,0.0,6,2,8,Weekday,High
2982,2011-05-09,Summer,2011,May,3,No,Monday,Clear,0.46,0.4545,82.0,0.0896,0,7,7,Weekday,High
2983,2011-05-09,Summer,2011,May,4,No,Monday,Clear,0.42,0.4242,82.0,0.1642,0,4,4,Weekday,High
2984,2011-05-09,Summer,2011,May,5,No,Monday,Clear,0.42,0.4242,77.0,0.1642,0,23,23,Weekday,High
2985,2011-05-09,Summer,2011,May,6,No,Monday,Clear,0.44,0.4394,72.0,0.2537,2,87,89,Weekday,High
2986,2011-05-09,Summer,2011,May,7,No,Monday,Clear,0.48,0.4697,63.0,0.2537,16,221,237,Weekday,High
2987,2011-05-09,Summer,2011,May,8,No,Monday,Clear,0.52,0.5,55.00000000000001,0.2239,23,351,374,Weekday,Normal
2988,2011-05-09,Summer,2011,May,9,No,Monday,Clear,0.54,0.5152,56.00000000000001,0.1642,36,142,178,Weekday,Normal
2989,2011-05-09,Summer,2011,May,10,No,Monday,Clear,0.56,0.5303,52.0,0.194,24,95,119,Weekday,Normal
2990,2011-05-09,Summer,2011,May,11,No,Monday,Clear,0.6,0.6212,46.0,0.2239,26,99,125,Weekday,Normal
2991,2011-05-09,Summer,2011,May,12,No,Monday,Clear,0.6,0.6212,43.0,0.194,35,160,195,Weekday,Normal
2992,2011-05-09,Summer,2011,May,13,No,Monday,Clear,0.62,0.6212,38.0,0.2836,36,138,174,Weekday,Normal
2993,2011-05-09,Summer,2011,May,14,No,Monday,Clear,0.62,0.6212,41.0,0.2239,44,118,162,Weekday,Normal
2994,2011-05-09,Summer,2011,May,15,No,Monday,Clear,0.62,0.6212,41.0,0.2239,51,148,199,Weekday,Normal
2995,2011-05-09,Summer,2011,May,16,No,Monday,Clear,0.64,0.6212,38.0,0.2239,49,255,304,Weekday,Normal
2996,2011-05-09,Summer,2011,May,17,No,Monday,Clear,0.62,0.6212,38.0,0.2537,59,539,598,Weekday,Normal
2997,2011-05-09,Summer,2011,May,18,No,Monday,Clear,0.62,0.6212,38.0,0.2985,66,458,524,Weekday,Normal
2998,2011-05-09,Summer,2011,May,19,No,Monday,Clear,0.58,0.5455,43.0,0.194,45,339,384,Weekday,Normal
2999,2011-05-09,Summer,2011,May,20,No,Monday,Clear,0.54,0.5152,49.0,0.194,25,214,239,Weekday,Normal
3000,2011-05-09,Summer,2011,May,21,No,Monday,Clear,0.52,0.5,59.0,0.1343,28,128,156,Weekday,Normal
3001,2011-05-09,Summer,2011,May,22,No,Monday,Clear,0.52,0.5,68.0,0.0896,21,95,116,Weekday,High
3002,2011-05-09,Summer,2011,May,23,No,Monday,Clear,0.5,0.4848,68.0,0.0896,16,45,61,Weekday,High
3003,2011-05-10,Summer,2011,May,0,No,Tuesday,Clear,0.48,0.4697,63.0,0.0,6,12,18,Weekday,High
3004,2011-05-10,Summer,2011,May,1,No,Tuesday,Clear,0.46,0.4545,59.0,0.0896,3,12,15,Weekday,Normal
3005,2011-05-10,Summer,2011,May,2,No,Tuesday,Clear,0.44,0.4394,57.99999999999999,0.1343,1,4,5,Weekday,Normal
3006,2011-05-10,Summer,2011,May,3,No,Tuesday,Clear,0.44,0.4394,54.0,0.194,1,3,4,Weekday,Normal
3007,2011-05-10,Summer,2011,May,4,No,Tuesday,Clear,0.42,0.4242,62.0,0.2537,0,2,2,Weekday,High
3008,2011-05-10,Summer,2011,May,5,No,Tuesday,Clear,0.4,0.4091,66.0,0.2239,1,28,29,Weekday,High
3009,2011-05-10,Summer,2011,May,6,No,Tuesday,Clear,0.42,0.4242,67.0,0.1343,9,103,112,Weekday,High
3010,2011-05-10,Summer,2011,May,7,No,Tuesday,Mist,0.44,0.4394,62.0,0.1343,13,301,314,Weekday,High
3011,2011-05-10,Summer,2011,May,8,No,Tuesday,Mist,0.5,0.4848,51.0,0.1045,28,397,425,Weekday,Normal
3012,2011-05-10,Summer,2011,May,9,No,Tuesday,Mist,0.52,0.5,48.0,0.1045,29,176,205,Weekday,Normal
3013,2011-05-10,Summer,2011,May,10,No,Tuesday,Mist,0.56,0.5303,37.0,0.0896,27,100,127,Weekday,Normal
3014,2011-05-10,Summer,2011,May,11,No,Tuesday,Mist,0.56,0.5303,43.0,0.1343,17,108,125,Weekday,Normal
3015,2011-05-10,Summer,2011,May,12,No,Tuesday,Mist,0.6,0.6212,38.0,0.0,47,170,217,Weekday,Normal
3016,2011-05-10,Summer,2011,May,13,No,Tuesday,Mist,0.62,0.6212,38.0,0.2537,50,152,202,Weekday,Normal
3017,2011-05-10,Summer,2011,May,14,No,Tuesday,Mist,0.62,0.6212,33.0,0.0,42,134,176,Weekday,Normal
3018,2011-05-10,Summer,2011,May,15,No,Tuesday,Mist,0.64,0.6212,33.0,0.0896,28,152,180,Weekday,Normal
3019,2011-05-10,Summer,2011,May,16,No,Tuesday,Clear,0.66,0.6212,31.0,0.1045,56,271,327,Weekday,Normal
3020,2011-05-10,Summer,2011,May,17,No,Tuesday,Clear,0.64,0.6212,33.0,0.0,79,532,611,Weekday,Normal
3021,2011-05-10,Summer,2011,May,18,No,Tuesday,Clear,0.64,0.6212,28.999999999999996,0.1343,70,480,550,Weekday,Low
3022,2011-05-10,Summer,2011,May,19,No,Tuesday,Clear,0.6,0.6212,43.0,0.2239,69,365,434,Weekday,Normal
3023,2011-05-10,Summer,2011,May,20,No,Tuesday,Clear,0.54,0.5152,60.0,0.1343,50,241,291,Weekday,Normal
3024,2011-05-10,Summer,2011,May,21,No,Tuesday,Clear,0.54,0.5152,52.0,0.0,30,173,203,Weekday,Normal
3025,2011-05-10,Summer,2011,May,22,No,Tuesday,Clear,0.52,0.5,55.00000000000001,0.1045,29,121,150,Weekday,Normal
3026,2011-05-10,Summer,2011,May,23,No,Tuesday,Mist,0.52,0.5,59.0,0.1343,9,72,81,Weekday,Normal
3027,2011-05-11,Summer,2011,May,0,No,Wednesday,Mist,0.52,0.5,55.00000000000001,0.1343,8,30,38,Weekday,Normal
3028,2011-05-11,Summer,2011,May,1,No,Wednesday,Mist,0.5,0.4848,59.0,0.1045,4,16,20,Weekday,Normal
3029,2011-05-11,Summer,2011,May,2,No,Wednesday,Clear,0.52,0.5,59.0,0.0,6,4,10,Weekday,Normal
3030,2011-05-11,Summer,2011,May,3,No,Wednesday,Clear,0.5,0.4848,63.0,0.2239,0,3,3,Weekday,High
3031,2011-05-11,Summer,2011,May,4,No,Wednesday,Mist,0.48,0.4697,88.0,0.1343,0,2,2,Weekday,High
3032,2011-05-11,Summer,2011,May,5,No,Wednesday,Clear,0.46,0.4545,88.0,0.1343,0,20,20,Weekday,High
3033,2011-05-11,Summer,2011,May,6,No,Wednesday,Clear,0.46,0.4545,82.0,0.1343,6,93,99,Weekday,High
3034,2011-05-11,Summer,2011,May,7,No,Wednesday,Clear,0.48,0.4697,72.0,0.194,25,293,318,Weekday,High
3035,2011-05-11,Summer,2011,May,8,No,Wednesday,Clear,0.48,0.4697,77.0,0.2537,21,421,442,Weekday,High
3036,2011-05-11,Summer,2011,May,9,No,Wednesday,Clear,0.52,0.5,72.0,0.1343,21,182,203,Weekday,High
3037,2011-05-11,Summer,2011,May,10,No,Wednesday,Clear,0.54,0.5152,68.0,0.0896,30,124,154,Weekday,High
3038,2011-05-11,Summer,2011,May,11,No,Wednesday,Clear,0.56,0.5303,64.0,0.0896,18,123,141,Weekday,High
3039,2011-05-11,Summer,2011,May,12,No,Wednesday,Clear,0.6,0.6212,56.00000000000001,0.0,41,185,226,Weekday,Normal
3040,2011-05-11,Summer,2011,May,13,No,Wednesday,Clear,0.62,0.6212,50.0,0.0,36,157,193,Weekday,Normal
3041,2011-05-11,Summer,2011,May,14,No,Wednesday,Clear,0.62,0.6212,53.0,0.0896,36,141,177,Weekday,Normal
3042,2011-05-11,Summer,2011,May,15,No,Wednesday,Clear,0.64,0.6212,41.0,0.0,48,131,179,Weekday,Normal
3043,2011-05-11,Summer,2011,May,16,No,Wednesday,Clear,0.66,0.6212,39.0,0.0,49,240,289,Weekday,Normal
3044,2011-05-11,Summer,2011,May,17,No,Wednesday,Clear,0.64,0.6212,47.0,0.1045,17,242,259,Weekday,Normal
3045,2011-05-11,Summer,2011,May,18,No,Wednesday,Clear,0.62,0.6212,50.0,0.2985,40,234,274,Weekday,Normal
3046,2011-05-11,Summer,2011,May,19,No,Wednesday,Clear,0.56,0.5303,52.0,0.1343,60,341,401,Weekday,Normal
3047,2011-05-11,Summer,2011,May,20,No,Wednesday,Clear,0.54,0.5152,64.0,0.1343,28,245,273,Weekday,High
3048,2011-05-11,Summer,2011,May,21,No,Wednesday,Clear,0.54,0.5152,60.0,0.0,32,202,234,Weekday,Normal
3049,2011-05-11,Summer,2011,May,22,No,Wednesday,Clear,0.5,0.4848,72.0,0.2537,12,134,146,Weekday,High
3050,2011-05-11,Summer,2011,May,23,No,Wednesday,Clear,0.46,0.4545,88.0,0.2537,12,69,81,Weekday,High
3051,2011-05-12,Summer,2011,May,0,No,Thursday,Mist,0.46,0.4545,88.0,0.2239,5,39,44,Weekday,High
3052,2011-05-12,Summer,2011,May,1,No,Thursday,Clear,0.46,0.4545,88.0,0.2239,1,16,17,Weekday,High
3053,2011-05-12,Summer,2011,May,2,No,Thursday,Clear,0.44,0.4394,94.0,0.194,1,14,15,Weekday,High
3054,2011-05-12,Summer,2011,May,3,No,Thursday,Clear,0.44,0.4394,88.0,0.1343,0,5,5,Weekday,High
3055,2011-05-12,Summer,2011,May,4,No,Thursday,Clear,0.42,0.4242,94.0,0.0,1,5,6,Weekday,High
3056,2011-05-12,Summer,2011,May,5,No,Thursday,Clear,0.42,0.4242,94.0,0.1343,2,27,29,Weekday,High
3057,2011-05-12,Summer,2011,May,6,No,Thursday,Clear,0.44,0.4394,88.0,0.0,9,103,112,Weekday,High
3058,2011-05-12,Summer,2011,May,7,No,Thursday,Clear,0.46,0.4545,88.0,0.1343,14,283,297,Weekday,High
3059,2011-05-12,Summer,2011,May,8,No,Thursday,Clear,0.48,0.4697,82.0,0.194,27,394,421,Weekday,High
3060,2011-05-12,Summer,2011,May,9,No,Thursday,Mist,0.5,0.4848,77.0,0.2836,21,191,212,Weekday,High
3061,2011-05-12,Summer,2011,May,10,No,Thursday,Mist,0.54,0.5152,68.0,0.2239,28,119,147,Weekday,High
3062,2011-05-12,Summer,2011,May,11,No,Thursday,Clear,0.58,0.5455,60.0,0.2239,43,136,179,Weekday,Normal
3063,2011-05-12,Summer,2011,May,12,No,Thursday,Clear,0.58,0.5455,60.0,0.2239,43,164,207,Weekday,Normal
3064,2011-05-12,Summer,2011,May,13,No,Thursday,Mist,0.62,0.6212,56.99999999999999,0.2985,48,170,218,Weekday,Normal
3065,2011-05-12,Summer,2011,May,14,No,Thursday,Mist,0.62,0.6061,61.0,0.2239,43,148,191,Weekday,High
3066,2011-05-12,Summer,2011,May,15,No,Thursday,Mist,0.64,0.6212,53.0,0.2537,54,163,217,Weekday,Normal
3067,2011-05-12,Summer,2011,May,16,No,Thursday,Mist,0.64,0.6212,56.99999999999999,0.2537,50,238,288,Weekday,Normal
3068,2011-05-12,Summer,2011,May,17,No,Thursday,Mist,0.64,0.6212,56.99999999999999,0.194,54,540,594,Weekday,Normal
3069,2011-05-12,Summer,2011,May,18,No,Thursday,Clear,0.62,0.6061,69.0,0.2239,64,463,527,Weekday,High
3070,2011-05-12,Summer,2011,May,19,No,Thursday,Mist,0.6,0.6061,64.0,0.194,59,305,364,Weekday,High
3071,2011-05-12,Summer,2011,May,20,No,Thursday,Clear,0.6,0.6061,64.0,0.194,56,220,276,Weekday,High
3072,2011-05-12,Summer,2011,May,21,No,Thursday,Clear,0.56,0.5303,83.0,0.1343,31,192,223,Weekday,High
3073,2011-05-12,Summer,2011,May,22,No,Thursday,Clear,0.54,0.5152,83.0,0.194,25,147,172,Weekday,High
3074,2011-05-12,Summer,2011,May,23,No,Thursday,Mist,0.54,0.5152,77.0,0.194,16,87,103,Weekday,High
3075,2011-05-13,Summer,2011,May,0,No,Friday,Mist,0.52,0.5,83.0,0.1642,6,46,52,Weekday,High
3076,2011-05-13,Summer,2011,May,1,No,Friday,Clear,0.52,0.5,83.0,0.1642,5,15,20,Weekday,High
3077,2011-05-13,Summer,2011,May,2,No,Friday,Mist,0.5,0.4848,88.0,0.1343,3,8,11,Weekday,High
3078,2011-05-13,Summer,2011,May,3,No,Friday,Mist,0.5,0.4848,88.0,0.1343,2,2,4,Weekday,High
3079,2011-05-13,Summer,2011,May,4,No,Friday,Light Rain,0.5,0.4848,88.0,0.1642,2,3,5,Weekday,High
3080,2011-05-13,Summer,2011,May,5,No,Friday,Mist,0.5,0.4848,88.0,0.194,1,24,25,Weekday,High
3081,2011-05-13,Summer,2011,May,6,No,Friday,Light Rain,0.5,0.4848,88.0,0.1343,6,76,82,Weekday,High
3082,2011-05-13,Summer,2011,May,7,No,Friday,Light Rain,0.5,0.4848,88.0,0.1642,16,141,157,Weekday,High
3083,2011-05-13,Summer,2011,May,8,No,Friday,Mist,0.5,0.4848,88.0,0.194,26,361,387,Weekday,High
3084,2011-05-13,Summer,2011,May,9,No,Friday,Mist,0.5,0.4848,88.0,0.194,18,215,233,Weekday,High
3085,2011-05-13,Summer,2011,May,10,No,Friday,Mist,0.52,0.5,83.0,0.1343,31,99,130,Weekday,High
3086,2011-05-13,Summer,2011,May,11,No,Friday,Mist,0.52,0.5,83.0,0.1642,56,90,146,Weekday,High
3087,2011-05-13,Summer,2011,May,12,No,Friday,Mist,0.52,0.5,88.0,0.194,53,170,223,Weekday,High
3088,2011-05-13,Summer,2011,May,13,No,Friday,Mist,0.52,0.5,88.0,0.3881,69,157,226,Weekday,High
3089,2011-05-13,Summer,2011,May,14,No,Friday,Mist,0.52,0.5,87.0,0.2836,70,120,190,Weekday,High
3090,2011-05-13,Summer,2011,May,15,No,Friday,Mist,0.52,0.5,88.0,0.1642,56,142,198,Weekday,High
3091,2011-05-13,Summer,2011,May,16,No,Friday,Mist,0.52,0.5,88.0,0.1343,44,256,300,Weekday,High
3092,2011-05-13,Summer,2011,May,17,No,Friday,Light Rain,0.52,0.5,88.0,0.1642,62,429,491,Weekday,High
3093,2011-05-13,Summer,2011,May,18,No,Friday,Light Rain,0.52,0.5,88.0,0.1642,39,359,398,Weekday,High
3094,2011-05-13,Summer,2011,May,19,No,Friday,Mist,0.52,0.5,83.0,0.194,25,245,270,Weekday,High
3095,2011-05-13,Summer,2011,May,20,No,Friday,Mist,0.52,0.5,83.0,0.1343,22,130,152,Weekday,High
3096,2011-05-13,Summer,2011,May,21,No,Friday,Mist,0.52,0.5,84.0,0.1642,24,130,154,Weekday,High
3097,2011-05-13,Summer,2011,May,22,No,Friday,Mist,0.52,0.5,83.0,0.2239,25,107,132,Weekday,High
3098,2011-05-13,Summer,2011,May,23,No,Friday,Light Rain,0.5,0.4848,88.0,0.1642,31,88,119,Weekday,High
3099,2011-05-14,Summer,2011,May,0,No,Saturday,Mist,0.5,0.4848,88.0,0.1343,24,78,102,Weekend,High
3100,2011-05-14,Summer,2011,May,1,No,Saturday,Mist,0.5,0.4848,88.0,0.1343,18,64,82,Weekend,High
3101,2011-05-14,Summer,2011,May,2,No,Saturday,Mist,0.5,0.4848,88.0,0.1343,15,37,52,Weekend,High
3102,2011-05-14,Summer,2011,May,3,No,Saturday,Mist,0.5,0.4848,88.0,0.1343,5,30,35,Weekend,High
3103,2011-05-14,Summer,2011,May,4,No,Saturday,Mist,0.5,0.4848,82.0,0.1642,1,4,5,Weekend,High
3104,2011-05-14,Summer,2011,May,5,No,Saturday,Mist,0.5,0.4848,82.0,0.1045,7,7,14,Weekend,High
3105,2011-05-14,Summer,2011,May,6,No,Saturday,Mist,0.5,0.4848,88.0,0.1045,2,9,11,Weekend,High
3106,2011-05-14,Summer,2011,May,7,No,Saturday,Light Rain,0.48,0.4697,100.0,0.0,4,28,32,Weekend,High
3107,2011-05-14,Summer,2011,May,8,No,Saturday,Light Rain,0.5,0.4848,94.0,0.0,16,72,88,Weekend,High
3108,2011-05-14,Summer,2011,May,9,No,Saturday,Mist,0.52,0.5,94.0,0.0896,14,86,100,Weekend,High
3109,2011-05-14,Summer,2011,May,10,No,Saturday,Mist,0.52,0.5,94.0,0.1642,34,133,167,Weekend,High
3110,2011-05-14,Summer,2011,May,11,No,Saturday,Mist,0.52,0.5,94.0,0.1343,72,207,279,Weekend,High
3111,2011-05-14,Summer,2011,May,12,No,Saturday,Light Rain,0.52,0.5,100.0,0.0896,75,204,279,Weekend,High
3112,2011-05-14,Summer,2011,May,13,No,Saturday,Light Rain,0.52,0.5,100.0,0.0896,68,180,248,Weekend,High
3113,2011-05-14,Summer,2011,May,14,No,Saturday,Mist,0.54,0.5152,94.0,0.1343,57,159,216,Weekend,High
3114,2011-05-14,Summer,2011,May,15,No,Saturday,Mist,0.54,0.5152,94.0,0.1642,73,221,294,Weekend,High
3115,2011-05-14,Summer,2011,May,16,No,Saturday,Mist,0.54,0.5152,94.0,0.194,107,188,295,Weekend,High
3116,2011-05-14,Summer,2011,May,17,No,Saturday,Mist,0.56,0.5303,88.0,0.194,78,194,272,Weekend,High
3117,2011-05-14,Summer,2011,May,18,No,Saturday,Mist,0.56,0.5303,88.0,0.2239,88,216,304,Weekend,High
3118,2011-05-14,Summer,2011,May,19,No,Saturday,Light Rain,0.54,0.5152,94.0,0.1343,69,179,248,Weekend,High
3119,2011-05-14,Summer,2011,May,20,No,Saturday,Light Rain,0.54,0.5152,94.0,0.1343,42,115,157,Weekend,High
3120,2011-05-14,Summer,2011,May,21,No,Saturday,Light Rain,0.54,0.5152,94.0,0.2239,15,44,59,Weekend,High
3121,2011-05-14,Summer,2011,May,22,No,Saturday,Light Rain,0.54,0.5152,94.0,0.1642,7,19,26,Weekend,High
3122,2011-05-14,Summer,2011,May,23,No,Saturday,Light Rain,0.52,0.5,100.0,0.194,11,33,44,Weekend,High
3123,2011-05-15,Summer,2011,May,0,No,Sunday,Mist,0.52,0.5,100.0,0.0,5,34,39,Weekend,High
3124,2011-05-15,Summer,2011,May,1,No,Sunday,Mist,0.52,0.5,100.0,0.1045,4,43,47,Weekend,High
3125,2011-05-15,Summer,2011,May,2,No,Sunday,Mist,0.52,0.5,100.0,0.1343,13,37,50,Weekend,High
3126,2011-05-15,Summer,2011,May,3,No,Sunday,Mist,0.52,0.5,100.0,0.0,11,21,32,Weekend,High
3127,2011-05-15,Summer,2011,May,4,No,Sunday,Mist,0.52,0.5,100.0,0.0,5,8,13,Weekend,High
3128,2011-05-15,Summer,2011,May,5,No,Sunday,Light Rain,0.52,0.5,100.0,0.1045,3,11,14,Weekend,High
3129,2011-05-15,Summer,2011,May,6,No,Sunday,Mist,0.52,0.5,100.0,0.1343,3,14,17,Weekend,High
3130,2011-05-15,Summer,2011,May,7,No,Sunday,Mist,0.52,0.5,100.0,0.1343,4,38,42,Weekend,High
3131,2011-05-15,Summer,2011,May,8,No,Sunday,Mist,0.54,0.5152,94.0,0.1343,24,46,70,Weekend,High
3132,2011-05-15,Summer,2011,May,9,No,Sunday,Clear,0.58,0.5455,83.0,0.2537,36,98,134,Weekend,High
3133,2011-05-15,Summer,2011,May,10,No,Sunday,Clear,0.58,0.5455,83.0,0.2239,73,153,226,Weekend,High
3134,2011-05-15,Summer,2011,May,11,No,Sunday,Clear,0.6,0.5758,78.0,0.2239,120,202,322,Weekend,High
3135,2011-05-15,Summer,2011,May,12,No,Sunday,Clear,0.62,0.5909,73.0,0.2985,120,247,367,Weekend,High
3136,2011-05-15,Summer,2011,May,13,No,Sunday,Clear,0.62,0.5909,73.0,0.2836,195,261,456,Weekend,High
3137,2011-05-15,Summer,2011,May,14,No,Sunday,Clear,0.64,0.6061,73.0,0.194,183,254,437,Weekend,High
3138,2011-05-15,Summer,2011,May,15,No,Sunday,Clear,0.66,0.6212,69.0,0.2537,206,253,459,Weekend,High
3139,2011-05-15,Summer,2011,May,16,No,Sunday,Clear,0.64,0.6061,69.0,0.2537,158,282,440,Weekend,High
3140,2011-05-15,Summer,2011,May,17,No,Sunday,Light Rain,0.56,0.5303,78.0,0.3582,137,255,392,Weekend,High
3141,2011-05-15,Summer,2011,May,18,No,Sunday,Clear,0.56,0.5303,78.0,0.2537,60,177,237,Weekend,High
3142,2011-05-15,Summer,2011,May,19,No,Sunday,Clear,0.56,0.5303,83.0,0.1045,78,153,231,Weekend,High
3143,2011-05-15,Summer,2011,May,20,No,Sunday,Clear,0.54,0.5152,88.0,0.0,53,138,191,Weekend,High
3144,2011-05-15,Summer,2011,May,21,No,Sunday,Clear,0.54,0.5152,88.0,0.0,44,107,151,Weekend,High
3145,2011-05-15,Summer,2011,May,22,No,Sunday,Clear,0.56,0.5303,83.0,0.0,29,88,117,Weekend,High
3146,2011-05-15,Summer,2011,May,23,No,Sunday,Clear,0.54,0.5152,88.0,0.2239,18,51,69,Weekend,High
3147,2011-05-16,Summer,2011,May,0,No,Monday,Clear,0.52,0.5,94.0,0.1045,17,21,38,Weekday,High
3148,2011-05-16,Summer,2011,May,1,No,Monday,Clear,0.52,0.5,94.0,0.1343,6,8,14,Weekday,High
3149,2011-05-16,Summer,2011,May,2,No,Monday,Clear,0.5,0.4848,100.0,0.0896,4,9,13,Weekday,High
3150,2011-05-16,Summer,2011,May,3,No,Monday,Clear,0.5,0.4848,94.0,0.1642,1,3,4,Weekday,High
3151,2011-05-16,Summer,2011,May,4,No,Monday,Clear,0.5,0.4848,100.0,0.1343,1,5,6,Weekday,High
3152,2011-05-16,Summer,2011,May,5,No,Monday,Clear,0.5,0.4848,93.0,0.194,1,20,21,Weekday,High
3153,2011-05-16,Summer,2011,May,6,No,Monday,Clear,0.52,0.5,88.0,0.1642,11,93,104,Weekday,High
3154,2011-05-16,Summer,2011,May,7,No,Monday,Clear,0.52,0.5,83.0,0.2836,27,245,272,Weekday,High
3155,2011-05-16,Summer,2011,May,8,No,Monday,Clear,0.56,0.5303,73.0,0.2985,28,366,394,Weekday,High
3156,2011-05-16,Summer,2011,May,9,No,Monday,Clear,0.6,0.5909,69.0,0.194,38,156,194,Weekday,High
3157,2011-05-16,Summer,2011,May,10,No,Monday,Clear,0.62,0.6061,65.0,0.0896,37,75,112,Weekday,High
3158,2011-05-16,Summer,2011,May,11,No,Monday,Clear,0.64,0.6212,56.99999999999999,0.0,56,129,185,Weekday,Normal
3159,2011-05-16,Summer,2011,May,12,No,Monday,Clear,0.66,0.6212,54.0,0.0896,72,137,209,Weekday,Normal
3160,2011-05-16,Summer,2011,May,13,No,Monday,Clear,0.68,0.6364,51.0,0.0,61,153,214,Weekday,Normal
3161,2011-05-16,Summer,2011,May,14,No,Monday,Clear,0.68,0.6364,51.0,0.0,76,117,193,Weekday,Normal
3162,2011-05-16,Summer,2011,May,15,No,Monday,Clear,0.72,0.6667,51.0,0.0,55,110,165,Weekday,Normal
3163,2011-05-16,Summer,2011,May,16,No,Monday,Light Rain,0.6,0.5758,78.0,0.2537,45,181,226,Weekday,High
3164,2011-05-16,Summer,2011,May,17,No,Monday,Clear,0.58,0.5455,88.0,0.2239,47,227,274,Weekday,High
3165,2011-05-16,Summer,2011,May,18,No,Monday,Light Rain,0.58,0.5455,83.0,0.194,55,398,453,Weekday,High
3166,2011-05-16,Summer,2011,May,19,No,Monday,Clear,0.58,0.5455,83.0,0.2537,36,272,308,Weekday,High
